region,cell_name,threshold_v,latency,peak_v,trough_v,peak_amp,upstroke_downstroke_ratio,adaptation,isi_cv,avg_rate,tau,sag,Rin,Cm,half_width,DepoR,RepoR,AHPAmp,AHP_latency,RMP,IS1,IS2
Occipital,occipital_lobe_1121_cell7,-49.65209961,0.08383,28.35083008,-58.50219727,78.00292969,2.833333333,,,2,0.008829704,0.155911228,86.83120728,-0.000101688,0.64375,13.79013062,-4.203796387,10.91003418,22.93125,-55.742,0.049546,0.068275
Occipital,occipital_lobe_1121_cell8,-40.39611816,0.01518,15.45715332,-44.59838867,55.85327148,2.436764841,0.051586073,0.206800668,20,0.010039018,0.044467265,211.7112732,-4.74184E-05,0.733333333,4.865010579,-2.131144206,8.972167969,25.45833333,-59.8,0.025573333,0.052026667
Occipital,occipital_lobe_1128_cell3,-30.05599976,0.00648,13.671875,-37.65869141,43.72787476,2.502600094,0.047550353,0.201587032,16,0.008241262,0.047079689,194.354248,-4.24033E-05,0.95,5.416870117,-1.953125,16.90673828,23.65833333,-52.2,0.04513,0.072975
Occipital,occipital_lobe_1202_cell16,-44.95794123,0.00403,14.8676092,-61.92294034,59.82555043,1.987535443,0.019654329,0.157618413,22,0.012980713,0.030511128,203.4719849,-6.37961E-05,0.513636364,5.670720881,-2.990722656,20.86292614,5.15,-53.5,0.02016,0.0313625
Occipital,occipital_lobe_1202_cell19,-41.17098722,0.00148,20.9683505,-57.59221857,62.13933771,2.010177935,0.016990843,0.299147724,22,0.012994155,0.034836053,273.6430359,-4.74858E-05,0.6,5.462646484,-2.787272135,18.5546875,4.583333333,-50.5,0.018125,0.021753333
Occipital,occipital_lobe_1202_cell20,-43.71337891,0.01018,4.861450195,-56.39648438,48.5748291,2.070494458,0.030004477,0.133143524,20,0.008251673,0.039794254,279.6380615,-2.95084E-05,0.464814815,7.394296152,-3.373887804,17.27520978,4.161111111,-69.1,0.0213225,0.09488
Occipital,occipital_lobe_1202_cell21,-38.42163086,0.00268,9.857177734,-54.77905273,48.27880859,1.875055383,,0,4,0.006915158,0.047054583,208.3827209,-3.31849E-05,0.083333333,2.888997396,-1.688639323,16.69311523,12.98333333,-51.8,0.0202525,0.022545
Occipital,occipital_lobe_1202_cell22,-37.67903646,0.00153,3.902859158,-50.46251085,41.58189562,1.944445059,0.022530012,0.100526478,18,0.005443906,0.030533957,137.6872253,-3.95382E-05,0.277777778,4.655626085,-2.326117622,15.00447591,5.294444444,-49.1,0.017646667,0.019523333
Occipital,occipital_lobe_1202_cell23,-41.78619385,0.02603,27.39715576,-51.97906494,69.18334961,2.180368374,0.195173143,0.303542978,8,0.015723189,0.014190982,357.0333862,-4.40384E-05,1.216666667,3.590901693,-1.637776693,11.72892253,8.683333333,-53.1,0.063425,0.067955
Occipital,occipital_lobe_1202_cell24,-34.04017857,0.00783,-1.460484096,-47.7469308,32.57969448,2.05450938,0.018436487,0.115132483,28,0.01241234,0.027138262,211.5422058,-5.86755E-05,0.446153846,7.493239183,-4.063532903,22.40694486,3.334615385,-56.7,0.0286,0.030623333
Occipital,occipital_lobe_1202_cell26,-36.65559188,0.00188,13.6745287,-52.55259638,50.33012058,1.883434305,0.009723276,0.102331625,46,0.009443579,0.031100292,180.5656433,-5.23E-05,0.535714286,7.4332101,-3.893171038,22.73123605,3.625,-57.7,0.01735,0.02002
Occipital,occipital_lobe_1202_cell7,-42.0627594,0.01053,12.76397705,-54.64070638,54.82673645,2.198590854,0.02902759,0.205040251,32,0.013623701,0.017066968,322.0783997,-4.22993E-05,0.65,6.731305804,-3.003801618,15.67731585,4.5,-67.4,0.0145675,0.022306667
Occipital,occipital_lobe_1206_cell11,-40.55786133,0.08173,25.1159668,-48.79760742,65.67382813,2.228571429,,,2,0.014575809,0.058737633,140.158844,-0.000103995,1.258333333,4.455566406,-2.058241102,8.63817003,24.975,-58.6,0.09342,0.091765
Occipital,occipital_lobe_1206_cell14,-36.65771484,0.02963,28.93676758,-44.68536377,65.59448242,3.078559183,0.05217439,0.142579066,10,0.006569127,0.04135673,149.5323181,-4.39312E-05,1.871428571,3.845214844,-1.232328869,10.23501442,24.91190476,-59.1,0.06365,0.065203333
Occipital,occipital_lobe_1206_cell15,-35.23137019,0.00618,21.48672251,-48.02058293,56.7180927,1.978804017,0.010467036,0.132982799,26,0.007433296,0.041174824,187.1601868,-3.97162E-05,0.57037037,6.244800709,-3.269901982,16.03868273,4.427777778,-62.3,0.061310417,0.072776944
Occipital,occipital_lobe_1206_cell2,-37.73117065,0.02678,11.24954224,-42.95131138,48.98071289,2.295007507,0.124565121,0.382173949,16,0.021151095,0.02138092,344.6800232,-6.13644E-05,1.519230769,3.211388221,-1.363900992,8.326603816,26.63076923,-58.7,0.0177225,0.04508
Occipital,occipital_lobe_1206_cell3,-34.16442871,0.01528,12.50712077,-45.76619466,46.67154948,2.268126943,0.054747325,0.146971931,12,0.024412027,0.115751226,418.0844116,-5.83902E-05,1.277777778,2.583821615,-1.071506076,12.21042209,40.43888889,-59.5,0.05002,0.058713333
Occipital,occipital_lobe_1206_cell7,-37.87231445,0.00868,20.30639648,-44.00295681,58.17871094,3.189404989,0.039333274,0.164519971,20,0.013010468,0.023279352,293.1350708,-4.43839E-05,1.446,4.420166016,-1.427001953,9.996337891,24.878,-51.8,0.043865,0.0557775
Occipital,occipital_lobe_1206_cell8,-37.12463379,0.010433,33.9050293,-47.51586914,71.02966309,2.929121726,,0,4,0.017979966,0.067195846,215.1779175,-8.35586E-05,1.661538462,4.502516526,-1.544658954,13.07795598,25.76153846,-54.2,0.04592,0.070916667
Occipital,occipital_lobe_1206_cell9,-46.51184082,0.00143,22.26867676,-54.19921875,68.78051758,2.72599837,0.048722845,0.209079304,20,0.016514965,0.108726342,279.4604492,-5.90959E-05,1.35625,5.041599274,-1.54542923,8.637428284,25.24296875,-64.7,0.042885,0.059173333
Temporal,temporal_lobe_0704_cell2,-41.87011719,0.01853,53.9855957,-48.79760742,95.85571289,3.742857143,,,2,0.027443987,0.091176248,163.3207703,-0.000168037,1.31,5.76171875,-1.931762695,10.65368652,21.23,-72.8,0.022515,0.06036
Temporal,temporal_lobe_0704_cell3,-36.61499023,0.01363,22.03674316,-44.35119629,58.6517334,2.179818874,0.036133343,0.311589441,40,0.032562657,0.014050849,303.9425659,-0.000107134,1.075,6.820678711,-2.166748047,10.45227051,6.025,-70.5,0.01093,0.017036667
Temporal,temporal_lobe_0706_cell1,-36.61499023,0.00618,-5.37109375,,64.60571289,,,,2,0.026067657,0.117916615,202.902832,-0.000128474,0.69375,4.993438721,-1.361846924,26.58081055,25.48125,-50.4,0.05142,
Temporal,temporal_lobe_0706_cell7,-23.27575684,0.01778,45.09277344,-38.60473633,68.36853027,2.819749956,0.056492096,0.232223439,20,0.023141746,0.008446778,135.7911682,-0.000170422,1.533333333,5.655924479,-1.963297526,20.31453451,9.3,-64.88,0.05105,0.07056
Temporal,temporal_lobe_0909_cell1,-23.84440104,0.03648,34.98840332,-38.7512207,58.83280436,5.588763539,0.141534346,0.325565527,12,0.010837202,0.034194154,294.034729,-3.68569E-05,2.13,3.784179688,-0.903320313,17.84667969,25.88,-67.3,0.034286,0.042851
Temporal,temporal_lobe_0909_cell7,-33.17260742,,32.16552734,,65.33813477,,,,2,0.023141746,0.008446778,135.7911682,-0.000170422,2.45,4.150390625,-0.732421875,21.61661784,26.25,-64.5,0.107052155,
Temporal,temporal_lobe_0909_cell8,-37.87667411,0.01203,28.25055804,-50.90840658,66.12723214,5.037477477,0.045254789,0.140330918,14,0.028110299,0.035964522,258.8612366,-0.000108592,2.075,3.829956055,-0.734329224,15.81954956,25.621875,-59.4,0.0551868,0.0859
Temporal,temporal_lobe_0909_cell9,-33.41674805,,40.7409668,,74.15771484,,,,2,0.015335964,0.008509998,106.5603638,-0.000143918,1.685714286,5.780901228,-0.93296596,15.70783343,25.38571429,-68.1,0.10582,
Temporal,temporal_lobe_1109_cell10,-37.75024414,0.09988,59.11254883,-46.23413086,96.86279297,4.862068966,,,2,0.019837132,0.036741977,56.98272705,-0.000348125,1.183333333,10.7421875,-2.380371094,12.58850098,23.7,-69.7,0.125155,
